City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Kailua,US,21.4022,-157.7394,80.74,62,1,9.22,clear sky
80,Dahanu,IN,19.9667,72.7333,76.32,75,7,4.27,clear sky
81,Vilcun,CL,-38.65,-72.2333,56.14,52,20,6.38,few clouds
82,Vanderhoof,CA,54.0166,-124.0198,43.3,71,100,2.3,overcast clouds
83,Sorland,NO,67.667,12.6934,32.07,98,100,25.01,light snow
84,Lagoa,PT,39.05,-27.9833,68.77,60,49,1.61,scattered clouds
85,Luderitz,NA,-26.6481,15.1594,58.78,78,47,9.8,scattered clouds
86,Margate,GB,51.3813,1.3862,56.91,84,100,6.35,moderate rain
87,Vardo,NO,70.3705,31.1107,31.98,74,75,19.57,light shower snow
88,Narsaq,GL,60.9167,-46.05,32.65,37,0,4.07,clear sky
89,Sao Filipe,CV,14.8961,-24.4956,82.2,62,0,8.05,clear sky
90,Saint-Philippe,RE,-21.3585,55.7679,72.95,78,40,11.1,scattered clouds
91,Klaksvik,FO,62.2266,-6.589,43.72,67,69,37.56,broken clouds
92,Ishigaki,JP,24.3448,124.1572,79.63,76,100,10.71,overcast clouds
93,Indiaroba,BR,-11.5192,-37.5117,79.45,76,95,7.58,overcast clouds
94,Meulaboh,ID,4.1363,96.1285,75.38,90,100,5.55,light rain
95,Hobyo,SO,5.3505,48.5268,78.26,83,83,17.65,broken clouds
96,San Quintin,MX,30.4833,-115.95,68.79,60,0,12.46,clear sky
97,Houston,US,29.7633,-95.3633,88.34,64,40,3.0,scattered clouds
98,Pitimbu,BR,-7.4706,-34.8086,84.79,75,8,11.88,clear sky
99,Dicabisagan,PH,17.0818,122.4157,76.59,88,49,2.55,scattered clouds
100,Saldanha,ZA,-33.0117,17.9442,60.85,84,77,18.61,broken clouds
101,East London,ZA,-33.0153,27.9116,64.69,83,10,16.2,clear sky
102,Padang,ID,-0.9492,100.3543,75.25,91,100,4.9,overcast clouds
103,Kawalu,ID,-7.3817,108.2082,71.69,93,82,1.34,broken clouds
104,Airai,TL,-8.9266,125.4092,61.56,81,100,1.21,overcast clouds
105,Bar Harbor,US,44.3876,-68.2039,58.26,59,1,8.99,clear sky
106,Tual,ID,-5.6667,132.75,82.44,76,90,3.44,overcast clouds
107,Saint-Georges,GD,12.0564,-61.7485,85.68,79,40,17.27,scattered clouds
108,Taoudenni,ML,22.6783,-3.9836,79.3,21,1,10.6,clear sky
109,Sanok,PL,49.5557,22.2056,56.16,100,98,25.97,overcast clouds
110,Castro,BR,-24.7911,-50.0119,59.68,76,96,7.56,overcast clouds
111,Brainerd,US,46.358,-94.2008,48.22,81,90,17.27,overcast clouds
112,Tigil,RU,57.8,158.6667,14.7,83,47,6.46,scattered clouds
113,Ngunguru,NZ,-35.6167,174.5,60.17,96,100,17.18,light rain
114,Hambantota,LK,6.1241,81.1185,78.98,83,99,9.19,overcast clouds
115,Nuuk,GL,64.1835,-51.7216,32.88,69,2,11.99,clear sky
116,Sao Joao Da Barra,BR,-21.6403,-41.0511,64.49,91,100,11.18,overcast clouds
117,Aguimes,ES,27.9054,-15.4461,70.66,79,20,19.57,few clouds
118,Peniche,PT,39.3558,-9.3811,67.62,92,6,8.21,clear sky
119,Bredasdorp,ZA,-34.5322,20.0403,62.28,96,67,8.93,broken clouds
120,Jalalabad,AF,34.4265,70.4515,73.26,28,0,0.85,clear sky
121,Kristiinankaupunki,FI,62.2743,21.376,48.81,92,100,10.98,overcast clouds
122,Bourail,NC,-21.5667,165.4833,67.59,95,100,5.28,light rain
123,Rayadrug,IN,14.7,76.8667,78.42,59,100,7.65,overcast clouds
124,Arroyo,ES,41.6096,-4.7969,63.14,72,20,13.8,few clouds
125,Peleduy,RU,59.6289,112.7406,35.38,98,100,8.52,light rain
126,Hurghada,EG,27.2574,33.8129,77.04,38,0,14.97,clear sky
127,Monte Patria,CL,-30.6919,-70.9467,75.34,31,0,9.93,clear sky
128,Tautira,PF,-17.7333,-149.15,84.22,80,99,12.19,light rain
129,Sovetskiy,RU,61.3614,63.5842,30.22,85,100,4.56,overcast clouds
