City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
593,Crown Point,US,73.53,overcast clouds,41.417,-87.3653,
594,Riyadh,SA,82.54,clear sky,24.6877,46.7219,
595,Bajil,YE,85.91,broken clouds,15.0584,43.2851,
596,Severiano Melo,BR,88.5,overcast clouds,-5.7772,-37.9578,
599,Jaleswar,NP,73.63,overcast clouds,26.6471,85.8008,
601,Japura,ID,70.97,overcast clouds,-0.3167,102.35,
602,Kedougou,SN,84.0,light rain,12.5579,-12.1743,
606,Sambava,MG,71.22,few clouds,-14.2667,50.1667,
608,Hadejia,NG,87.91,scattered clouds,12.4498,10.0444,
610,Lapeer,US,72.66,scattered clouds,43.0514,-83.3188,
611,Denia,ES,74.8,overcast clouds,38.8408,0.1057,
615,Cururupu,BR,83.43,few clouds,-1.8283,-44.8683,
618,Mpulungu,ZM,82.85,broken clouds,-8.7623,31.1141,
620,Manggar,ID,78.76,overcast clouds,-2.8833,108.2667,
621,Melur,IN,78.62,overcast clouds,10.05,78.3333,
622,Carlsbad,US,80.83,clear sky,33.1581,-117.3506,
625,Mangrol,IN,78.58,clear sky,21.1167,70.1167,
627,Seminole,US,85.98,few clouds,28.7086,-81.2081,
630,Carupano,VE,84.85,overcast clouds,10.6678,-63.2585,
632,The Valley,AI,87.66,broken clouds,18.217,-63.0578,
635,Hit,IQ,73.94,clear sky,33.6416,42.8251,
638,Kihei,US,80.62,few clouds,20.785,-156.4656,
641,Akyab,MM,79.27,heavy intensity rain,20.15,92.9,
646,Marau,BR,73.35,overcast clouds,-28.4492,-52.2,
647,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,
648,Iracoubo,GF,83.14,scattered clouds,5.4802,-53.2011,
654,Adrar,MR,81.12,clear sky,20.5022,-10.0711,
656,Azul,AR,75.34,clear sky,-36.777,-59.8585,
657,Puerto Madero,MX,86.2,overcast clouds,14.7208,-92.4215,
660,Nazas,MX,83.84,clear sky,25.2333,-104.1333,
666,Kita,ML,76.12,light rain,13.0349,-9.4895,
667,Kulhudhuffushi,MV,81.25,overcast clouds,6.6221,73.07,
670,Alyangula,AU,80.47,broken clouds,-13.8483,136.4192,
672,Bauta,CU,85.98,broken clouds,22.9828,-82.5464,
673,Bubaque,GW,82.8,overcast clouds,11.2833,-15.8333,
679,Twentynine Palms,US,76.15,broken clouds,34.1356,-116.0542,
681,Beeville,US,89.15,scattered clouds,28.4008,-97.7483,
682,Tutoia,BR,87.78,broken clouds,-2.7619,-42.2744,
683,Birao,CF,75.67,overcast clouds,10.2849,22.7882,
684,Ewa Beach,US,80.69,clear sky,21.3156,-158.0072,
686,San Juan,AR,87.71,clear sky,-31.5375,-68.5364,
688,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,
691,Maturin,VE,87.12,broken clouds,9.75,-63.1767,
694,Dzaoudzi,YT,76.89,clear sky,-12.7887,45.2699,
695,Dwarka,IN,79.84,clear sky,22.2394,68.9678,
696,Pavagada,IN,77.38,overcast clouds,14.1,77.2667,
699,Puerto Escondido,MX,86.83,broken clouds,15.85,-97.0667,
701,Kutum,SD,79.21,broken clouds,14.2,24.6667,
705,Maraa,BR,87.66,overcast clouds,-1.8333,-65.3667,
709,Mount Isa,AU,76.77,light rain,-20.7333,139.5,
712,Kloulklubed,PW,81.48,overcast clouds,7.0419,134.2556,
